Destination,IATA,ID DM,LIEN DM,,,,
Lyon,LYS,k2crUTlROWPC5ZxDrLE,https://www.dailymotion.com/video/k2crUTlROWPC5ZxDrLE,,,,"""Lyon""=>""k2crUTlROWPC5ZxDrLE"","
Madrid,MAD,k2vDmxarCIspvZxDrLu,https://www.dailymotion.com/video/k2vDmxarCIspvZxDrLu,,,,"""Madrid""=>""k2vDmxarCIspvZxDrLu"","
Manchester,MAN,k3AWbMaiCfEolOxDrLv,https://www.dailymotion.com/video/k3AWbMaiCfEolOxDrLv,,,,"""Manchester""=>""k3AWbMaiCfEolOxDrLv"","
Mexico,MEX,k7CcdoeTkVPLOFxDrLw,https://www.dailymotion.com/video/k7CcdoeTkVPLOFxDrLw,,,,"""Mexico""=>""k7CcdoeTkVPLOFxDrLw"","
Miami,MIA,k2gYIjp3DW5rX5xDrLx,https://www.dailymotion.com/video/k2gYIjp3DW5rX5xDrLx,,,,"""Miami""=>""k2gYIjp3DW5rX5xDrLx"","
Milan,MIL,k1AApcVqFKBUAuxDrLy,https://www.dailymotion.com/video/k1AApcVqFKBUAuxDrLy,,,,"""Milan""=>""k1AApcVqFKBUAuxDrLy"","
Moscou,MOW,k2fNDm96b5OGbUxDt8L,https://www.dailymotion.com/video/k2fNDm96b5OGbUxDt8L,,,,"""Moscou""=>""k2fNDm96b5OGbUxDt8L"","
Montpellier,MPL,k7GNiMultGlEjnxDt8M,https://www.dailymotion.com/video/k7GNiMultGlEjnxDt8M,,,,"""Montpellier""=>""k7GNiMultGlEjnxDt8M"","
Marseille,MRS,k2wGSDeDuEYFbzxDt8N,https://www.dailymotion.com/video/k2wGSDeDuEYFbzxDt8N,,,,"""Marseille""=>""k2wGSDeDuEYFbzxDt8N"","
Île Maurice,MRU,k6BT2OwLcWPdRFxDt8C,https://www.dailymotion.com/video/k6BT2OwLcWPdRFxDt8C,,,,"""Île Maurice""=>""k6BT2OwLcWPdRFxDt8C"","
Munich,MUC,k7kdiYA7WIlSnuxDt8D,https://www.dailymotion.com/video/k7kdiYA7WIlSnuxDt8D,,,,"""Munich""=>""k7kdiYA7WIlSnuxDt8D"","
Naples,NAP,k3PU96jqjV67lwxDt8E,https://www.dailymotion.com/video/k3PU96jqjV67lwxDt8E,,,,"""Naples""=>""k3PU96jqjV67lwxDt8E"","
Nairobi,NBO,k6KizcBZfsWGf4xDt8F,https://www.dailymotion.com/video/k6KizcBZfsWGf4xDt8F,,,,"""Nairobi""=>""k6KizcBZfsWGf4xDt8F"","
Nice,NCE,kYArm7qp03961oxDt8G,https://www.dailymotion.com/video/kYArm7qp03961oxDt8G,,,,"""Nice""=>""kYArm7qp03961oxDt8G"","
Nantes,NTE,k1KIYUxK0gqu0cxDt8I,https://www.dailymotion.com/video/k1KIYUxK0gqu0cxDt8I,,,,"""Nantes""=>""k1KIYUxK0gqu0cxDt8I"","
New York,NYC,k5BlWNkUsFJ8WBxDt8J,https://www.dailymotion.com/video/k5BlWNkUsFJ8WBxDt8J,,,,"""New York""=>""k5BlWNkUsFJ8WBxDt8J"","
Porto,OPO,kCwSkRAmvrb0jHxDFQr,https://www.dailymotion.com/video/kCwSkRAmvrb0jHxDFQr,,,,"""Porto""=>""kCwSkRAmvrb0jHxDFQr"","
Oran,ORN,k7bBRdj6mav8kSxDFQs,https://www.dailymotion.com/video/k7bBRdj6mav8kSxDFQs,,,,"""Oran""=>""k7bBRdj6mav8kSxDFQs"","
Osaka,OSA,kacNNlRIMdCwUExDFQt,https://www.dailymotion.com/video/kacNNlRIMdCwUExDFQt,,,,"""Osaka""=>""kacNNlRIMdCwUExDFQt"","
Oslo,OSL,k2N6tlQ84MNJg8xDFQu,https://www.dailymotion.com/video/k2N6tlQ84MNJg8xDFQu,,,,"""Oslo""=>""k2N6tlQ84MNJg8xDFQu"","
Paris,PAR,k5cjsT5gdO2aHaxDFQv,https://www.dailymotion.com/video/k5cjsT5gdO2aHaxDFQv,,,,"""Paris""=>""k5cjsT5gdO2aHaxDFQv"","
Palma de Majorque,PMI,k4yrsmktFPJEIxxDFQw,https://www.dailymotion.com/video/k4yrsmktFPJEIxxDFQw,,,,"""Palma de Majorque""=>""k4yrsmktFPJEIxxDFQw"","
Papeete,PPT,kjXaUuydZPcWpWxDFQx,https://www.dailymotion.com/video/kjXaUuydZPcWpWxDFQx,,,,"""Papeete""=>""kjXaUuydZPcWpWxDFQx"","
Prague,PRG,k6lcqtutrtDAWixDFQy,https://www.dailymotion.com/video/k6lcqtutrtDAWixDFQy,,,,"""Prague""=>""k6lcqtutrtDAWixDFQy"","
Guadeloupe,PTP,k1kCXT4icezSbuxDFQo,https://www.dailymotion.com/video/k1kCXT4icezSbuxDFQo,,,,"""Guadeloupe""=>""k1kCXT4icezSbuxDFQo"","
Panama,PTY,k3jOjFsyQwZAsJxDFQq,https://www.dailymotion.com/video/k3jOjFsyQwZAsJxDFQq,,,,"""Panama""=>""k3jOjFsyQwZAsJxDFQq"","
Pau Tarbes Lourdes,PUF,k2egNu7d9gKuJbxDHro,https://www.dailymotion.com/video/k2egNu7d9gKuJbxDHro,,,,"""Pau Tarbes Lourdes""=>""k2egNu7d9gKuJbxDHro"","
Marrakech,RAK,k5F3hgrVr8YOSHxDHrp,https://www.dailymotion.com/video/k5F3hgrVr8YOSHxDHrp,,,,"""Marrakech""=>""k5F3hgrVr8YOSHxDHrp"","
Rabat,RBA,k5frII8M3XPrStxDHrq,https://www.dailymotion.com/video/k5frII8M3XPrStxDHrq,,,,"""Rabat""=>""k5frII8M3XPrStxDHrq"","
